"lineNum","startstationid","startstationname","starttotaldocks","startstationlatitude","startstationlongitude","startzip"
"1",281,"Grand Army Plaza & Central Park S",66,40.7643971,-73.97371465,"10019"
"2",304,"Broadway & Battery Pl",33,40.70463334,-74.01361706,"10004"
"3",337,"Old Slip & Front St",37,40.7037992,-74.00838676,"10005"
"4",359,"E 47 St & Park Ave",64,40.75510267,-73.97498696,"10017"
"5",377,"6 Ave & Canal St",45,40.72243797,-74.00566443,"10013"
"6",382,"University Pl & E 14 St",36,40.73492695,-73.99200509,"10003"
"7",402,"Broadway & E 22 St",39,40.7403432,-73.98955109,"10010"
"8",426,"West St & Chambers St",29,40.71754834,-74.01322069,"10282"
"9",458,"11 Ave & W 27 St",31,40.751396,-74.005226,"10001"
"10",484,"W 44 St & 5 Ave",46,40.75500254,-73.98014437,"10036"
"11",491,"E 24 St & Park Ave S",51,40.74096374,-73.98602213,"10010"
"12",514,"12 Ave & W 40 St",52,40.76087502,-74.00277668,"10018"
"13",520,"W 52 St & 5 Ave",41,40.75992262,-73.97648516,"10019"
"14",524,"W 43 St & 6 Ave",57,40.75527307,-73.98316936,"10036"
"15",3223,"E 55 St & 3 Ave",53,40.75899656,-73.96865398,"10022"
"16",3233,"E 48 St & 5 Ave",39,40.75724568,-73.97805914,"10017"
"17",3443,"W 52 St & 6 Ave",41,40.76132983,-73.97982001,"10019"
"18",72,"W 52 St & 11 Ave",55,40.76727216,-73.99392888,"10019"
"19",79,"Franklin St & W Broadway",33,40.71911552,-74.00666661,"10013"
"20",82,"St James Pl & Pearl St",27,40.71117416,-74.00016545,"10038"
"21",83,"Atlantic Ave & Fort Greene Pl",62,40.68382604,-73.97632328,"11217"
"22",119,"Park Ave & St Edwards St",19,40.69608941,-73.97803415,"11205"
"23",120,"Lexington Ave & Classon Ave",19,40.68676793,-73.95928168,"11238"
"24",127,"Barrow St & Hudson St",31,40.73172428,-74.00674436,"10014"
"25",128,"MacDougal St & Prince St",30,40.72710258,-74.00297088,"10012"
"26",143,"Clinton St & Joralemon St",24,40.69239502,-73.99337909,"11201"
"27",144,"Nassau St & Navy St",19,40.69839895,-73.98068914,"11201"
"28",146,"Hudson St & Reade St",39,40.71625008,-74.0091059,"10013"
"29",150,"E 2 St & Avenue C",54,40.7208736,-73.98085795,"10009"
"30",151,"Cleveland Pl & Spring St",33,40.72210379,-73.99724901,"10012"
"31",157,"Henry St & Atlantic Ave",23,40.69089272,-73.99612349,"11201"
"32",161,"LaGuardia Pl & W 3 St",35,40.72917025,-73.99810231,"10012"
"33",164,"E 47 St & 2 Ave",47,40.75323098,-73.97032517,"10017"
"34",167,"E 39 St & 3 Ave",45,40.7489006,-73.97604882,"10016"
"35",168,"W 18 St & 6 Ave",47,40.73971301,-73.99456405,"10011"
"36",173,"Broadway & W 49 St",51,40.76068327,-73.98452729,"10019"
"37",174,"E 25 St & 1 Ave",30,40.7381765,-73.97738662,"10010"
"38",195,"Liberty St & Broadway",45,40.70905623,-74.01043382,"10005"
"39",212,"W 16 St & The High Line",60,40.74334935,-74.00681753,"10011"
"40",216,"Columbia Heights & Cranberry St",23,40.70037867,-73.99548059,"11201"
"41",217,"Old Fulton St",39,40.70277159,-73.99383605,"10038"
"42",223,"W 13 St & 7 Ave",33,40.73781509,-73.99994661,"10011"
"43",224,"Spruce St & Nassau St",31,40.71146364,-74.00552427,"10038"
"44",228,"E 48 St & 3 Ave",55,40.7546011,-73.97187886,"10017"
"45",229,"Great Jones St",23,40.72743423,-73.99379025,"10012"
"46",236,"St Marks Pl & 2 Ave",47,40.7284186,-73.98713956,"10003"
"47",237,"E 11 St & 2 Ave",27,40.73047309,-73.98672378,"10003"
"48",238,"Bank St & Washington St",31,40.7361967,-74.00859207,"10014"
"49",239,"Willoughby St & Fleet St",31,40.69196566,-73.9813018,"11201"
"50",241,"DeKalb Ave & S Portland Ave",23,40.68981035,-73.97493121,"11217"
"51",242,"Carlton Ave & Flushing Ave",23,40.697787,-73.973736,"11205"
"52",243,"Fulton St & Rockwell Pl",31,40.688226,-73.979382,"11217"
"53",244,"Willoughby Ave & Hall St",31,40.69196035,-73.96536851,"11205"
"54",245,"Myrtle Ave & St Edwards St",23,40.69327018,-73.97703874,"11205"
"55",247,"Perry St & Bleecker St",0,40.73535398,-74.00483091,"10014"
"56",248,"Laight St & Hudson St",23,40.72185379,-74.00771779,"10013"
"57",249,"Harrison St & Hudson St",27,40.71870987,-74.0090009,"10013"
"58",251,"Mott St & Prince St",27,40.72317958,-73.99480012,"10012"
"59",252,"MacDougal St & Washington Sq",33,40.73226398,-73.99852205,"10011"
"60",254,"W 11 St & 6 Ave",59,40.73532427,-73.99800419,"10011"
"61",257,"Lispenard St & Broadway",39,40.71939226,-74.00247214,"10013"
"62",258,"DeKalb Ave & Vanderbilt Ave",23,40.68940747,-73.96885458,"11205"
"63",259,"South St & Whitehall St",19,40.70122128,-74.01234218,"10004"
"64",260,"Broad St & Bridge St",33,40.70365182,-74.01167797,"10004"
"65",261,"Johnson St & Gold St",27,40.69474881,-73.98362464,"11201"
"66",262,"Washington Park",24,40.6917823,-73.9737299,"11205"
"67",264,"Maiden Ln & Pearl St",27,40.70706456,-74.00731853,"10038"
"68",265,"Stanton St & Chrystie St",35,40.72229346,-73.99147535,"10002"
"69",266,"Avenue D & E 8 St",30,40.72368361,-73.97574813,"10009"
"70",267,"Broadway & W 36 St",57,40.75097711,-73.98765428,"10018"
"71",268,"Howard St & Centre St",23,40.71910537,-73.99973337,"10013"
"72",270,"Adelphi St & Myrtle Ave",23,40.69308257,-73.97178913,"11205"
"73",274,"Lafayette Ave & Fort Greene Pl",31,40.68691865,-73.976682,"11217"
"74",275,"Washington Ave & Greene Ave",19,40.68650065,-73.96563307,"11238"
"75",276,"Duane St & Greenwich St",25,40.71748752,-74.0104554,"10013"
"76",278,"Concord St & Bridge St",19,40.69766564,-73.98476437,"11201"
"77",279,"Peck Slip & Front St",36,40.707873,-74.00167,"10038"
"78",280,"E 10 St & 5 Ave",31,40.73331967,-73.99510132,"10003"
"79",282,"Kent Ave & S 11 St",27,40.70764494,-73.96841526,"11249"
"80",285,"Broadway & E 14 St",53,40.73454567,-73.99074142,"10003"
"81",289,"Monroe St & Classon Ave",19,40.6845683,-73.95881081,"11238"
"82",291,"Madison St & Montgomery St",20,40.713126,-73.984844,"10002"
"83",293,"Lafayette St & E 8 St",55,40.73020661,-73.99102628,"10003"
"84",295,"Pike St & E Broadway",24,40.71406667,-73.99293911,"10002"
"85",296,"Division St & Bowery",35,40.71413089,-73.9970468,"10002"
"86",297,"E 15 St & 3 Ave",27,40.734232,-73.986923,"10003"
"87",298,"3 Ave & Schermerhorn St",35,40.68683208,-73.9796772,"11217"
"88",301,"E 2 St & Avenue B",58,40.72217444,-73.98368779,"10009"
"89",302,"Avenue D & E 3 St",23,40.72082834,-73.97793172,"10009"
"90",303,"Mercer St & Spring St",67,40.72362738,-73.99949601,"10012"
"91",305,"E 58 St & 3 Ave",33,40.76095756,-73.96724467,"10022"
"92",307,"Canal St & Rutgers St",30,40.71427487,-73.98990025,"10002"
"93",308,"St James Pl & Oliver St",27,40.71307916,-73.99851193,"10038"
"94",309,"Murray St & West St",41,40.7149787,-74.013012,"10007"
"95",310,"State St & Smith St",36,40.68926942,-73.98912867,"11201"
"96",311,"Norfolk St & Broome St",31,40.7172274,-73.98802084,"10002"
"97",312,"Allen St & Stanton St",31,40.722055,-73.989111,"10002"
"98",313,"Washington Ave & Park Ave",23,40.69610226,-73.96751037,"11205"
"99",314,"Cadman Plaza West & Montague St",39,40.69383,-73.990539,"11201"
"100",315,"South St & Gouverneur Ln",29,40.70355377,-74.00670227,"10005"
"101",316,"Fulton St & William St",43,40.70955958,-74.00653609,"10038"
"102",317,"E 6 St & Avenue B",54,40.72453734,-73.98185424,"10009"
"103",319,"Fulton St & Broadway",33,40.711066,-74.009447,"10038"
"104",320,"Leonard St & Church St",27,40.717571,-74.005549,"10013"
"105",321,"Cadman Plaza E & Red Cross Pl",27,40.69991755,-73.98971773,"11201"
"106",322,"Clinton St & Tillary St",0,40.696192,-73.991218,"11201"
"107",323,"Lawrence St & Willoughby St",39,40.69236178,-73.98631746,"11201"
"108",324,"DeKalb Ave & Hudson Ave",51,40.689888,-73.981013,"11201"
"109",325,"E 19 St & 3 Ave",35,40.73624527,-73.98473765,"10003"
"110",326,"E 11 St & 1 Ave",41,40.72953837,-73.98426726,"10003"
"111",327,"Vesey Pl & River Terrace",39,40.7153379,-74.01658354,"10282"
"112",328,"Watts St & Greenwich St",23,40.72405549,-74.00965965,"10013"
"113",330,"Reade St & Broadway",39,40.71450451,-74.00562789,"10007"
"114",331,"Pike St & Monroe St",27,40.71173107,-73.99193043,"10002"
"115",332,"Cherry St",36,40.71219906,-73.97948148,"10002"
"116",334,"W 20 St & 7 Ave",31,40.74238787,-73.99726235,"10011"
"117",335,"Washington Pl & Broadway",27,40.72903917,-73.99404649,"10003"
"118",336,"Sullivan St & Washington Sq",36,40.73047747,-73.99906065,"10012"
"119",339,"Avenue D & E 12 St",30,40.72580614,-73.97422494,"10009"
"120",340,"Madison St & Clinton St",27,40.71269042,-73.98776323,"10002"
"121",341,"Stanton St & Mangin St",19,40.71782143,-73.97628939,"10002"
"122",342,"Columbia St & Rivington St",29,40.71739973,-73.98016555,"10002"
"123",343,"Clinton Ave & Flushing Ave",23,40.69794,-73.96986848,"11205"
"124",344,"Monroe St & Bedford Ave",23,40.6851443,-73.95380904,"11216"
"125",346,"Bank St & Hudson St",27,40.73652889,-74.00618026,"10014"
"126",347,"Greenwich St & W Houston St",35,40.728846,-74.008591,"10014"
"127",349,"Rivington St & Ridge St",61,40.71850211,-73.98329859,"10002"
"128",350,"Clinton St & Grand St",28,40.71559509,-73.9870295,"10002"
"129",351,"Front St & Maiden Ln",39,40.70530954,-74.00612572,"10005"
"130",353,"S Portland Ave & Hanson Pl",27,40.68539567,-73.97431458,"11217"
"131",354,"Emerson Pl & Myrtle Ave",23,40.69363137,-73.96223558,"11205"
"132",355,"Bayard St & Baxter St",43,40.71602118,-73.99974372,"10013"
"133",356,"Bialystoker Pl & Delancey St",23,40.71622644,-73.98261206,"10002"
"134",357,"E 11 St & Broadway",27,40.73261787,-73.99158043,"10003"
"135",358,"Christopher St & Greenwich St",50,40.73291553,-74.00711384,"10014"
"136",360,"William St & Pine St",39,40.70717936,-74.00887308,"10005"
"137",361,"Allen St & Hester St",43,40.71605866,-73.99190759,"10002"
"138",362,"Broadway & W 37 St",57,40.75172632,-73.98753523,"10018"
"139",363,"West Thames St",49,40.70834698,-74.01713445,"10280"
"140",364,"Lafayette Ave & Classon Ave",27,40.68900443,-73.96023854,"11238"
"141",365,"Fulton St & Grand Ave",31,40.68223166,-73.9614583,"11238"
"142",366,"Clinton Ave & Myrtle Ave",33,40.693261,-73.968896,"11205"
"143",368,"Carmine St & 6 Ave",39,40.73038599,-74.00214988,"10014"
"144",369,"Washington Pl & 6 Ave",21,40.73224119,-74.00026394,"10011"
"145",372,"Franklin Ave & Myrtle Ave",27,40.69454609,-73.95801365,"11205"
"146",373,"Willoughby Ave & Walworth St",19,40.69331716,-73.95381995,"11205"
"147",376,"John St & William St",43,40.70862144,-74.00722156,"10038"
"148",379,"W 31 St & 7 Ave",42,40.749156,-73.9916,"10001"
"149",380,"W 4 St & 7 Ave S",42,40.73401143,-74.00293877,"10014"
"150",383,"Greenwich Ave & Charles St",39,40.735238,-74.000271,"10011"
"151",385,"E 55 St & 2 Ave",29,40.75797322,-73.96603308,"10022"
"152",386,"Centre St & Worth St",43,40.71494807,-74.00234482,"10007"
"153",387,"Centre St & Chambers St",39,40.71273266,-74.0046073,"10007"
"154",388,"W 26 St & 10 Ave",35,40.74971775,-74.00295035,"10001"
"155",389,"Broadway & Berry St",27,40.71044554,-73.96525063,"11249"
"156",390,"Duffield St & Willoughby St",31,40.69221589,-73.9842844,"11201"
"157",391,"Clark St & Henry St",31,40.69760127,-73.99344559,"11201"
"158",392,"Jay St & Tech Pl",35,40.695065,-73.987167,"11201"
"159",393,"E 5 St & Avenue C",37,40.72299208,-73.97995466,"10009"
"160",394,"E 9 St & Avenue C",34,40.72521311,-73.97768752,"10009"
"161",396,"Lefferts Pl & Franklin Ave",25,40.68034242,-73.95576894,"11238"
"162",397,"Fulton St & Clermont Ave",27,40.68415748,-73.96922273,"11238"
"163",398,"Atlantic Ave & Furman St",31,40.69165183,-73.9999786,"11201"
"164",399,"Lafayette Ave & St James Pl",27,40.68851534,-73.9647628,"11205"
"165",400,"Pitt St & Stanton St",15,40.71926081,-73.98178024,"10002"
"166",401,"Allen St & Rivington St",42,40.72019576,-73.98997825,"10002"
"167",403,"E 2 St & 2 Ave",31,40.72502876,-73.99069656,"10003"
"168",405,"Washington St & Gansevoort St",51,40.739323,-74.008119,"10014"
"169",406,"Hicks St & Montague St",34,40.69512845,-73.99595065,"11201"
"170",407,"Henry St & Poplar St",37,40.700469,-73.991454,"11201"
"171",408,"Market St & Cherry St",23,40.71076228,-73.99400398,"10002"
"172",410,"Suffolk St & Stanton St",45,40.72066442,-73.98517977,"10002"
"173",411,"E 6 St & Avenue D",31,40.72228087,-73.97668709,"10009"
"174",412,"Forsyth St & Canal St",29,40.7158155,-73.99422366,"10002"
"175",414,"Pearl St & Anchorage Pl",24,40.70281858,-73.98765762,"11201"
"176",415,"Pearl St & Hanover Square",42,40.7047177,-74.00926027,"10004"
"177",416,"Cumberland St & Lafayette Ave",31,40.68753406,-73.97265183,"11238"
"178",417,"Barclay St & Church St",25,40.71291224,-74.01020234,"10007"
"179",418,"Front St & Gold St",23,40.70224,-73.982578,"11201"
"180",419,"Carlton Ave & Park Ave",23,40.69580705,-73.97355569,"11205"
"181",420,"Clermont Ave & Lafayette Ave",23,40.68764484,-73.96968902,"11238"
"182",421,"Clermont Ave & Park Ave",19,40.69573398,-73.97129668,"11205"
"183",422,"W 59 St & 10 Ave",79,40.770513,-73.988038,"10019"
"184",423,"W 54 St & 9 Ave",27,40.76584941,-73.98690506,"10019"
"185",427,"Bus Slip & State St",47,40.701907,-74.013942,"10004"
"186",432,"E 7 St & Avenue A",31,40.72621788,-73.98379855,"10009"
"187",435,"W 21 St & 6 Ave",50,40.74173969,-73.99415556,"10011"
"188",436,"Hancock St & Bedford Ave",27,40.68216564,-73.95399026,"11216"
"189",437,"Macon St & Nostrand Ave",24,40.68098339,-73.95004798,"11216"
"190",438,"St Marks Pl & 1 Ave",47,40.72779126,-73.98564945,"10003"
"191",439,"E 4 St & 2 Ave",39,40.7262807,-73.98978041,"10003"
"192",440,"E 45 St & 3 Ave",32,40.75255434,-73.97282625,"10017"
"193",441,"E 52 St & 2 Ave",40,40.756014,-73.967416,"10022"
"194",442,"W 27 St & 7 Ave",51,40.746647,-73.993915,"10001"
"195",443,"Bedford Ave & S 9 St",23,40.70853074,-73.96408963,"11249"
"196",445,"E 10 St & Avenue A",79,40.72740794,-73.98142006,"10009"
"197",446,"W 24 St & 7 Ave",47,40.74487634,-73.99529885,"10011"
"198",447,"8 Ave & W 52 St",31,40.76370739,-73.9851615,"10019"
"199",448,"W 37 St & 10 Ave",27,40.75660359,-73.9979009,"10018"
"200",450,"W 49 St & 8 Ave",67,40.76227205,-73.98788205,"10019"
"201",453,"W 22 St & 8 Ave",66,40.74475148,-73.99915362,"10011"
"202",454,"E 51 St & 1 Ave",35,40.75455731,-73.96592976,"10022"
"203",455,"1 Ave & E 44 St",59,40.75001986,-73.96905301,"10017"
"204",456,"E 53 St & Madison Ave",35,40.7597108,-73.97402311,"10022"
"205",459,"W 20 St & 11 Ave",49,40.746745,-74.007756,"10011"
"206",460,"S 4 St & Wythe Ave",25,40.71285887,-73.96590294,"11249"
"207",461,"E 20 St & 2 Ave",56,40.73587678,-73.98205027,"10003"
"208",462,"W 22 St & 10 Ave",47,40.74691959,-74.00451887,"10011"
"209",465,"Broadway & W 41 St",39,40.75513557,-73.98658032,"10036"
"210",466,"W 25 St & 6 Ave",35,40.74395411,-73.99144871,"10010"
"211",467,"Dean St & 4 Ave",34,40.68312489,-73.97895137,"11217"
"212",468,"Broadway & W 56 St",65,40.7652654,-73.98192338,"10019"
"213",469,"Broadway & W 53 St",57,40.76344058,-73.98268129,"10019"
"214",470,"W 20 St & 8 Ave",72,40.74345335,-74.00004031,"10011"
"215",471,"Grand St & Havemeyer St",31,40.71286844,-73.95698119,"11211"
"216",472,"E 32 St & Park Ave",55,40.7457121,-73.98194829,"10016"
"217",473,"Rivington St & Chrystie St",38,40.72110063,-73.9919254,"10002"
"218",474,"5 Ave & E 29 St",56,40.7451677,-73.98683077,"10016"
"219",476,"E 31 St & 3 Ave",47,40.74394314,-73.97966069,"10016"
"220",477,"W 41 St & 8 Ave",59,40.75640548,-73.9900262,"10018"
"221",478,"11 Ave & W 41 St",37,40.76030096,-73.99884222,"10018"
"222",479,"9 Ave & W 45 St",31,40.76019252,-73.9912551,"10036"
"223",480,"W 53 St & 10 Ave",27,40.76669671,-73.99061728,"10019"
"224",481,"S 3 St & Bedford Ave",25,40.71260486,-73.96264403,"11249"
"225",482,"W 15 St & 7 Ave",77,40.73935542,-73.99931783,"10011"
"226",483,"E 12 St & 3 Ave",34,40.73223272,-73.98889957,"10003"
"227",485,"W 37 St & 5 Ave",40,40.75038009,-73.98338988,"10018"
"228",486,"Broadway & W 29 St",41,40.7462009,-73.98855723,"10001"
"229",487,"E 20 St & FDR Drive",34,40.73314259,-73.97573881,"10009"
"230",490,"8 Ave & W 33 St",66,40.751551,-73.993934,"10001"
"231",492,"W 33 St & 7 Ave",68,40.75019995,-73.99093085,"10001"
"232",494,"W 26 St & 8 Ave",66,40.74734825,-73.99723551,"10001"
"233",495,"W 47 St & 10 Ave",39,40.76269882,-73.99301222,"10036"
"234",496,"E 16 St & 5 Ave",47,40.73726186,-73.99238967,"10003"
"235",497,"E 17 St & Broadway",66,40.73704984,-73.99009296,"10003"
"236",498,"Broadway & W 32 St",30,40.74854862,-73.98808416,"10001"
"237",499,"Broadway & W 60 St",36,40.76915505,-73.98191841,"10023"
"238",500,"Broadway & W 51 St",52,40.76228826,-73.98336183,"10019"
"239",501,"FDR Drive & E 35 St",79,40.744219,-73.97121214,"10016"
"240",502,"Henry St & Grand St",30,40.714215,-73.981346,"10002"
"241",503,"E 20 St & Park Ave",31,40.73827428,-73.98751968,"10003"
"242",504,"1 Ave & E 16 St",53,40.73221853,-73.98165557,"10009"
"243",505,"6 Ave & W 33 St",39,40.74901271,-73.98848395,"10001"
"244",507,"E 25 St & 2 Ave",45,40.73912601,-73.97973776,"10010"
"245",508,"W 46 St & 11 Ave",25,40.76341379,-73.99667444,"10036"
"246",509,"9 Ave & W 22 St",63,40.7454973,-74.00197139,"10011"
"247",513,"W 56 St & 10 Ave",27,40.768254,-73.988639,"10019"
"248",515,"W 43 St & 10 Ave",35,40.76009437,-73.99461843,"10036"
"249",516,"E 47 St & 1 Ave",31,40.75206862,-73.96784384,"10017"
"250",517,"Pershing Square South",69,40.751581,-73.97791,"10168"
"251",518,"E 39 St & 2 Ave",39,40.74780373,-73.9734419,"10016"
"252",519,"Pershing Square North",69,40.751873,-73.977706,"10017"
"253",522,"E 51 St & Lexington Ave",51,40.75714758,-73.97207836,"10022"
"254",523,"W 38 St & 8 Ave",51,40.75466591,-73.99138152,"10018"
"255",525,"W 34 St & 11 Ave",56,40.75594159,-74.0021163,"10001"
"256",526,"E 33 St & 5 Ave",40,40.74765947,-73.98490707,"10016"
"257",528,"2 Ave & E 31 St",39,40.74290902,-73.97706058,"10016"
"258",529,"W 42 St & 8 Ave",41,40.7575699,-73.99098507,"10018"
"259",530,"11 Ave & W 59 St",24,40.77149671,-73.99046034,"10019"
"260",531,"Forsyth St & Broome St",39,40.71893904,-73.99266288,"10002"
"261",532,"S 5 Pl & S 5 St",43,40.710451,-73.960876,"11211"
"262",533,"Broadway & W 38 St",46,40.75299641,-73.98721619,"10018"
"263",534,"Water - Whitehall Plaza",31,40.70255065,-74.0127234,"10004"
"264",536,"1 Ave & E 30 St",29,40.74144387,-73.97536082,"10016"
"265",539,"Metropolitan Ave & Bedford Ave",31,40.71534825,-73.96024116,"11211"
"266",540,"Lexington Ave & E 29 St",30,40.74311555,-73.98215353,"10016"
"267",545,"E 23 St & 1 Ave",27,40.736502,-73.97809472,"10010"
"268",546,"E 30 St & Park Ave S",45,40.74444921,-73.98303529,"10016"
"269",2000,"Front St & Washington St",30,40.70255088,-73.98940236,"11201"
"270",2002,"Wythe Ave & Metropolitan Ave",27,40.716887,-73.963198,"11249"
"271",2003,"1 Ave & E 18 St",54,40.73381219,-73.98054421,"10009"
"272",2005,"Railroad Ave & Kay Ave",12,40.70531194,-73.97100056,"11249"
"273",2006,"Central Park S & 6 Ave",49,40.76590936,-73.97634151,"10019"
"274",2008,"Little West St & 1 Pl",24,40.70569254,-74.01677685,"10004"
"275",2009,"Catherine St & Monroe St",35,40.71117444,-73.99682619,"10038"
"276",2010,"Grand St & Greene St",0,40.72165481,-74.00234737,"10013"
"277",2012,"E 27 St & 1 Ave",36,40.739445,-73.976806,"10016"
"278",2017,"E 43 St & 2 Ave",39,40.75022392,-73.97121414,"10017"
"279",2021,"W 45 St & 8 Ave",43,40.75929124,-73.98859651,"10036"
"280",2022,"E 60 St & York Ave",33,40.759107,-73.959223,"10022"
