"","startsaleprice","startzip","startneighborhood"
"1",2386172.10185185,"10009","Alphabet City"
"2",624202.190476191,"11214","Bath Beach"
"3",585083.5,"11228","Bath Beach"
"4",552581.87826087,"11209","Bay Ridge"
"5",594980.114285714,"11220","Bay Ridge"
"6",209628.5,"11228","Bay Ridge"
"7",717011.782608696,"11205","Bedford Stuyvesant"
"8",805655.038461538,"11206","Bedford Stuyvesant"
"9",1272887.3125,"11216","Bedford Stuyvesant"
"10",2435643.4,"11221","Bedford Stuyvesant"
"11",2223442.15384615,"11233","Bedford Stuyvesant"
"12",1506333.33333333,"11238","Bedford Stuyvesant"
"13",740587.272727273,"11204","Bensonhurst"
"14",1210479.02439024,"11214","Bensonhurst"
"15",1353333.33333333,"11219","Bensonhurst"
"16",1605000,"11228","Bensonhurst"
"17",554545.454545455,"11234","Bergen Beach"
"18",2316506.58823529,"11201","Boerum Hill"
"19",1849478.15277778,"11217","Boerum Hill"
"20",1227616.76470588,"11204","Borough Park"
"21",689198,"11218","Borough Park"
"22",1806828.22807018,"11219","Borough Park"
"23",3871175,"11220","Borough Park"
"24",1347250,"11232","Borough Park"
"25",518307.164556962,"11235","Brighton Beach"
"26",1928248.20141343,"11201","Brooklyn Heights"
"27",729563.125,"11212","Brownsville"
"28",1735000,"11220","Bush Terminal"
"29",7108333.33333333,"11206","Bushwick"
"30",628528.55,"11207","Bushwick"
"31",1555900,"11221","Bushwick"
"32",1255437.5,"11237","Bushwick"
"33",597829.333333333,"11236","Canarsie"
"34",3100000,"11201","Carroll Gardens"
"35",1498121.23728814,"11231","Carroll Gardens"
"36",2131083.22,"10001","Chelsea"
"37",3441142,"10010","Chelsea"
"38",2268930.77514793,"10011","Chelsea"
"39",2718129,"10014","Chelsea"
"40",1641523.61904762,"10002","Chinatown"
"41",4424290.64285714,"10013","Chinatown"
"42",5257331.625,"10007","Civic Center"
"43",5762421.34375,"10013","Civic Center"
"44",720333.333333333,"10038","Civic Center"
"45",1662076.48543689,"10019","Clinton"
"46",3105472.37,"10036","Clinton"
"47",946545.6125,"11205","Clinton Hill"
"48",1214002.075,"11238","Clinton Hill"
"49",1263335.23809524,"11201","Cobble Hill"
"50",3438846.15384615,"11231","Cobble Hill"
"51",1322313.1,"11201","Cobble Hill-West"
"52",1210937.5,"11231","Cobble Hill-West"
"53",810837.753968254,"11224","Coney Island"
"54",1720074.85483871,"11213","Crown Heights"
"55",1361903.06451613,"11216","Crown Heights"
"56",3570704.61538462,"11225","Crown Heights"
"57",698000,"11233","Crown Heights"
"58",1268076.12121212,"11238","Crown Heights"
"59",2935000,"11207","Cypress Hills"
"60",1274600,"11208","Cypress Hills"
"61",2010703.28735632,"11201","Downtown-Fulton Ferry"
"62",1035312.3943662,"11201","Downtown-Fulton Mall"
"63",1065411.45901639,"11217","Downtown-Fulton Mall"
"64",795575.788235294,"11201","Downtown-Metrotech"
"65",1421666.66666667,"11219","Dyker Heights"
"66",1173333.33333333,"11228","Dyker Heights"
"67",554461.680555556,"11207","East New York"
"68",667891.434782609,"11208","East New York"
"69",3103682.57575758,"10003","East Village"
"70",2676740.32380952,"10009","East Village"
"71",1752182.66666667,"10001","Fashion"
"72",9089672.34782609,"10018","Fashion"
"73",1285094.75757576,"10004","Financial"
"74",1274378.39837398,"10005","Financial"
"75",1705500.36666667,"10006","Financial"
"76",1782290.13157895,"10038","Financial"
"77",415114.391304348,"11210","Flatbush-Central"
"78",591083.333333333,"11218","Flatbush-Central"
"79",1408639.89502762,"11226","Flatbush-Central"
"80",1240181.81818182,"11230","Flatbush-Central"
"81",1830382.35294118,"11203","Flatbush-East"
"82",281635.913043478,"11210","Flatbush-East"
"83",666685.833333333,"11226","Flatbush-East"
"84",834034.342105263,"11225","Flatbush-Lefferts Garden"
"85",578054.730769231,"11203","Flatbush-North"
"86",1556483.10344828,"11212","Flatbush-North"
"87",411670,"11213","Flatbush-North"
"88",455909.090909091,"11225","Flatbush-North"
"89",1389236.57142857,"11226","Flatbush-North"
"90",2020021.53846154,"10003","Flatiron"
"91",4177638.49019608,"10010","Flatiron"
"92",2103286.16470588,"10011","Flatiron"
"93",2091599.33333333,"10016","Flatiron"
"94",320527.859649123,"11234","Flatlands"
"95",608523.588235294,"11201","Fort Greene"
"96",1291562.78571429,"11205","Fort Greene"
"97",1227487.43589744,"11217","Fort Greene"
"98",1290876.47058824,"11238","Fort Greene"
"99",8712718.18181818,"11215","Gowanus"
"100",1892475.25,"11231","Gowanus"
"101",1446926.28365385,"10003","Gramercy"
"102",1147780.464,"10010","Gramercy"
"103",1047656,"10016","Gramercy"
"104",629363.795180723,"11204","Gravesend"
"105",358156.435483871,"11214","Gravesend"
"106",636965.714285714,"11223","Gravesend"
"107",1177951.90909091,"11211","Greenpoint"
"108",1619715.14563107,"11222","Greenpoint"
"109",2270363.5147929,"10003","Greenwich Village-Central"
"110",2281602.09473684,"10011","Greenwich Village-Central"
"111",3164613.23809524,"10012","Greenwich Village-Central"
"112",1240000,"10014","Greenwich Village-Central"
"113",2218798.06779661,"10011","Greenwich Village-West"
"114",3262219.36470588,"10014","Greenwich Village-West"
"115",1153992.66666667,"10019","Greenwich Village-West"
"116",2405200.17021277,"10026","Harlem-Central"
"117",1833892.375,"10027","Harlem-Central"
"118",3604443.31428571,"10030","Harlem-Central"
"119",1703399.93333333,"10031","Harlem-Central"
"120",399333.333333333,"10032","Harlem-Central"
"121",1540725.80645161,"10035","Harlem-Central"
"122",686529.216216216,"10037","Harlem-Central"
"123",1293087.45454545,"10039","Harlem-Central"
"124",2377553.34285714,"10029","Harlem-East"
"125",882755.8,"10035","Harlem-East"
"126",25450000,"10128","Harlem-East"
"127",2203265.66336634,"10031","Harlem-Upper"
"128",6227411.42857143,"10027","Harlem-West"
"129",3894993.0625,"10031","Harlem-West"
"130",994674.72972973,"10034","Inwood"
"131",1385000,"10463","Inwood"
"132",478011.909090909,"10001","Javits Center"
"133",8098750,"10018","Javits Center"
"134",2981282.43333333,"11218","Kensington"
"135",527625,"10003","Kips Bay"
"136",1117997.43333333,"10010","Kips Bay"
"137",1116545.01169591,"10016","Kips Bay"
"138",4554224.0625,"10012","Little Italy"
"139",1155666.66666667,"10013","Little Italy"
"140",1904536.28135593,"10002","Lower East Side"
"141",1300000,"11223","Madison"
"142",875735.301075269,"11229","Madison"
"143",993686.75,"11235","Manhattan Beach"
"144",2348634.1031746,"10025","Manhattan Valley"
"145",1838894.46666667,"10026","Manhattan Valley"
"146",188342.857142857,"11229","Marine Park"
"147",141874.75,"11234","Marine Park"
"148",759864.090909091,"10017","Midtown Cbd"
"149",6343007.5326087,"10022","Midtown Cbd"
"150",927003.55,"10016","Midtown East"
"151",1032764.55988024,"10017","Midtown East"
"152",1507928.9500998,"10022","Midtown East"
"153",2712764.08883827,"10019","Midtown West"
"154",16600000,"10023","Midtown West"
"155",5229206.04166667,"10036","Midtown West"
"156",305444.444444444,"11210","Midwood"
"157",234160.933333333,"11229","Midwood"
"158",568009.919642857,"11230","Midwood"
"159",645633.711538462,"10027","Morningside Heights"
"160",1033106.01243781,"10016","Murray Hill"
"161",1048185.5,"11205","Navy Yard"
"162",2663333.33333333,"11221","Ocean Hill"
"163",1039196.02439024,"11233","Ocean Hill"
"164",1037830.66666667,"11218","Ocean Parkway-North"
"165",1780106.625,"11223","Ocean Parkway-North"
"166",958508.252173913,"11230","Ocean Parkway-North"
"167",1091296.36363636,"11223","Ocean Parkway-South"
"168",314347.826086957,"11235","Ocean Parkway-South"
"169",200921.052631579,"11234","Old Mill Basin"
"170",1252156.22916667,"11215","Park Slope"
"171",1191837.07964602,"11217","Park Slope"
"172",1827784.73333333,"11215","Park Slope South"
"173",17373109.2666667,"11217","Prospect Heights"
"174",1384224.31904762,"11238","Prospect Heights"
"175",1279556.25,"11231","Red Hook"
"176",1118898.21428571,"10044","Roosevelt Island"
"177",1050914,"11224","Seagate"
"178",751904.013888889,"11229","Sheepshead Bay"
"179",499246.471111111,"11235","Sheepshead Bay"
"180",3801646.15,"10012","Soho"
"181",4103364.55882353,"10013","Soho"
"182",1315637,"10014","Soho"
"183",1377687.17977528,"10038","Southbridge"
"184",869612895,"11239","Spring Creek"
"185",1342028.84375,"11215","Sunset Park"
"186",1161107,"11220","Sunset Park"
"187",816264.384615385,"11232","Sunset Park"
"188",1988450,"10004","Tribeca"
"189",4230023.91011236,"10007","Tribeca"
"190",7546665.1640625,"10013","Tribeca"
"191",1053356.10416667,"10280","Tribeca"
"192",2638888.88888889,"10282","Tribeca"
"193",2061184.87854251,"10021","Upper East Side (59-79)"
"194",13750058.7291667,"10022","Upper East Side (59-79)"
"195",2347665.50746269,"10065","Upper East Side (59-79)"
"196",3128073.7755102,"10075","Upper East Side (59-79)"
"197",2311756.6509636,"10028","Upper East Side (79-96)"
"198",2036662.32758621,"10075","Upper East Side (79-96)"
"199",2279233.22816399,"10128","Upper East Side (79-96)"
"200",3248363.73529412,"10029","Upper East Side (96-110)"
"201",2337425.85714286,"10128","Upper East Side (96-110)"
"202",2636428.57142857,"10019","Upper West Side (59-79)"
"203",2298230.77195467,"10023","Upper West Side (59-79)"
"204",3186231.10588235,"10024","Upper West Side (59-79)"
"205",7721886.98780488,"10069","Upper West Side (59-79)"
"206",2784655.56334842,"10024","Upper West Side (79-96)"
"207",2001474.41847826,"10025","Upper West Side (79-96)"
"208",4425060.91240876,"10025","Upper West Side (96-116)"
"209",2492380.71428571,"10032","Washington Heights Lower"
"210",4062961.53846154,"10033","Washington Heights Lower"
"211",868457.320754717,"10033","Washington Heights Upper"
"212",582000,"10034","Washington Heights Upper"
"213",771657.588785047,"10040","Washington Heights Upper"
"214",770391.5,"11205","Williamsburg-Central"
"215",655967.6,"11206","Williamsburg-Central"
"216",907925,"11211","Williamsburg-Central"
"217",751851.789473684,"11249","Williamsburg-Central"
"218",759158.823529412,"11206","Williamsburg-East"
"219",1326684.71111111,"11211","Williamsburg-East"
"220",910000,"11222","Williamsburg-East"
"221",1543217.02631579,"11211","Williamsburg-North"
"222",2150000,"11231","Williamsburg-North"
"223",1199981.59589041,"11249","Williamsburg-North"
"224",2293666.35384615,"11211","Williamsburg-South"
"225",1979512,"11249","Williamsburg-South"
"226",765452,"11215","Windsor Terrace"
"227",699323.092592593,"11218","Windsor Terrace"
"228",1621075.92857143,"11237","Wyckoff Heights"
